"Tourist_Locations","Domestic_Overnight_Visitors","Foreign_Overnight_Visitors","Total_Overnight_Visitors","Estimated_Day_Visitors","Total Visitors+ Day Visitors","","","","","","","",""
"Gulbarga","57.5","21.8","20.7","100","693","","","","","","","",""
"Ganigapura","50","45","5","100","23","","","","","","","",""
"Bidar","74.3","11","14.8","100","210","","","","","","","",""
"Basvakalyan","50","45","5","100","202","","","","","","","",""
"Bijapur","47.8","43.3","8.9","100","2574","","","","","","","",""
"Bagalkot","56.8","37.2","6","100","213","","","","","","","",""
"Madikeri","45.9","47.2","6.9","100","2445","","","","","","","",""
"Malai Mahadeshwar","56.8","39.3","3.9","100","16","","","","","","","",""
"Kamalapur","38.9","45.3","15.8","100","78","","","","","","","",""
"Total","41.7","41.1","17.2","100","121285","","","","","","","",""
"","","","","","","","","","","","","",""
"Foreign overnight visitors at an overall level have expressed their satisfaction with regard to the quality of food being served in the State.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 8-7: Evaluation of Visitor Attractions � Domestic Overnight Visitors","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Locations","Percentage Distribution","","","","Estimated No. of Domestic Overnight Visitors","","","","","","","",""
"","Very Interesting","Average","Not Interesting","All","","","","","","","","",""
"Bangalore","53.3","33.6","13.1","100","2556416","","","","","","","",""
"Kolar","64.7","25","10.3","100","32840","","","","","","","",""
"Tumkur","43.8","38.9","17.3","100","92362","","","","","","","",""
"Mysore","57.5","32.2","10.3","100","1400367","","","","","","","",""
"Shravanbelagola","60.6","25","14.4","100","4002","","","","","","","",""
"Mandya","67.7","18.3","14","100","50517","","","","","","","",""
"Belgaum","36.3","46.2","17.5","100","137152","","","","","","","",""
"Karwar","55.5","33.7","10.8","100","87694","","","","","","","",""
"Dharwad","41.3","40.9","17.8","100","100924","","","","","","","",""
"Hubli","53.1","31.6","15.3","100","297374","","","","","","","",""
"Davnegar","41.2","33.4","25.4","100","35858","","","","","","","",""
"Gokarna","57.7","27.2","15.1","100","29951","","","","","","","",""
"Mangalore","55.6","36.1","8.4","100","352309","","","","","","","",""
"Udupi","56.9","30.7","12.4","100","229688","","","","","","","",""
"Kolur","57.3","29.2","13.5","100","12203","","","","","","","",""
"Shimoga","54.5","34","11.5","100","174473","","","","","","","",""
"Hassan","40.4","33.3","26.4","100","125381","","","","","","","",""
"Chikamagalur","48.9","30.1","21","100","72795","","","","","","","",""
"Kukusubranjini","66.9","26.2","6.9","100","1332","","","","","","","",""
"Hampi","45.6","29.6","24.8","100","29893","","","","","","","",""
"Hospet","45.4","31.3","23.3","100","117640","","","","","","","",""
"Lakundi","71","19.9","9","100","8155","","","","","","","",""
"Raichur","53","27.7","19.3","100","84540","","","","","","","",""
"Chitradurga","60","31","9","100","104792","","","","","","","",""
"Gulbarga","41.6","50.4","8","100","175658","","","","","","","",""
"Ganigapura","42","24.9","33","100","7174","","","","","","","",""
"Bidar","56.8","28.6","14.6","100","67368","","","","","","","",""
"Basvakalyan","45.8","23.8","30.4","100","12609","","","","","","","",""
"Bijapur","34.8","29.7","35.5","100","177928","","","","","","","",""
"Bagalkot","54.8","41.8","3.4","100","63250","","","","","","","",""
"Madikeri","45.8","26.7","27.5","100","133434","","","","","","","",""
"Charmarajanagar","47.9","24.9","27.2","100","24255","","","","","","","",""
"Malai Mahadeshwar","45.9","22.9","31.2","100","13703","","","","","","","",""
"Kamalapur","34.8","45.7","19.5","100","62404","","","","","","","",""
"Total","53.3","32.5","14.2","100","6876441","","","","","","","",""
"","","","","","","","","","","","","",""
"Domestic overnight visitors at an overall level have found tourist attractions at the various locations to be average to very interesting ones.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table 8-8: Evaluation of Visitor Attractions � Foreign Overnight Visitors","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Locations","Percentage Distribution","","","","Estimated No. of Foreign Overnight Visitors","","","","","","","",""
"","Very Interesting","Average","Not Interesting","All","","","","","","","","",""
"Bangalore","57.4","18.9","23.6","100","42118","","","","","","","",""
"Kolar","68","32","","100","68","","","","","","","",""
"Tumkur","52","48","","100","112","","","","","","","",""
"Mysore","68.9","18.1","13","100","43783","","","","","","","",""
"Shravanbelagola","64.4","23.3","12.4","100","5","","","","","","","",""
"Mandya","72.1","21.7","6.1","100","161","","","","","","","",""
"Belgaum","43.4","47.5","9.1","100","126","","","","","","","",""
"Karwar","74.2","24.3","1.6","100","768","","","","","","","",""
"Dharwad","24.2","69.1","6.7","100","154","","","","","","","",""
"Hubli","64.8","22.6","12.6","100","992","","","","","","","",""
"Gokarna","79.4","15","5.5","100","152","","","","","","","",""
"Mangalore","63.5","35.4","1.1","100","1381","","","","","","","",""
"Udupi","64","24","12","100","1532","","","","","","","",""
"Kolur","35.3","50.5","14.2","100","7","","","","","","","",""
"Shimoga","60.4","27.7","11.9","100","711","","","","","","","",""
"Hassan","52.3","42.7","5","100","1307","","","","","","","",""
"Chikamagalur","43.8","41.8","14.4","100","200","","","","","","","",""
"Kukusubranjini","61.1","38.7","0.2","100","2038","","","","","","","",""
"Hampi","68.7","21.7","9.6","100","12055","","","","","","","",""
"Hospet","55.8","33.5","10.7","100","3638","","","","","","","",""
"Raichur","37.2","40.1","22.7","100","93","","","","","","","",""
"Chitradurga","48","50","2","100","3430","","","","","","","",""
"Gulbarga","54.8","41.3","3.9","100","693","","","","","","","",""
"Ganigapura","65","35","","100","23","","","","","","","",""
"Bidar","94.3","5.7","0","100","210","","","","","","","",""
"Basvakalyan","60.4","27.7","11.9","100","202","","","","","","","",""
"Bijapur","56.7","24.9","18.4","100","2574","","","","","","","",""
"Bagalkot","67.8","23.7","8.5","100","213","","","","","","","",""
"Madikeri","56.9","34.2","8.9","100","2445","","","","","","","",""
"Malai Mahadeshwar","58.9","23.9","17.2","100","16","","","","","","","",""
"Kamalapur","49.6","28.6","21.8","100","78","","","","","","","",""
"Total","58.7","24.6","16.7","100","121285","","","","","","","",""
"","","","","","","","","","","","","",""
"Foreign overnight visitors in general have found the spots to be very interesting as far as tourist attraction is concerned.","","","","","","","","","","","","",""
